_id,userId,correct.answers,ms,timestamp,response_ms,symbol,trial,response_ms_med,response_ms_sd,sup_line,inf_line,distract_points
Ta6RL5Jm3kuSdA3uF,3ZJxRxNFMbsihHc9n,41,1.0,2017-06-01 10:18:49.461,2218.0,star,40,2051.0,663.6751885085198,3378.3503770170396,723.6496229829604,0
7owSGpkCWDRoG9335,iPppckgzp8sRDpzfy,31,1.0,2017-06-01 10:37:13.065,5603.0,square,1,2571.5,663.6751885085198,3898.8503770170396,1244.1496229829604,1
7owSGpkCWDRoG9335,iPppckgzp8sRDpzfy,31,1.0,2017-06-01 10:37:13.065,3208.0,window,2,2571.5,663.6751885085198,3898.8503770170396,1244.1496229829604,0
7owSGpkCWDRoG9335,iPppckgzp8sRDpzfy,31,1.0,2017-06-01 10:37:13.065,4443.0,mult,3,2571.5,663.6751885085198,3898.8503770170396,1244.1496229829604,1
7owSGpkCWDRoG9335,iPppckgzp8sRDpzfy,31,1.0,2017-06-01 10:37:13.065,4112.0,star,4,2571.5,663.6751885085198,3898.8503770170396,1244.1496229829604,1
7owSGpkCWDRoG9335,iPppckgzp8sRDpzfy,31,1.0,2017-06-01 10:37:13.065,2064.0,circle,5,2571.5,663.6751885085198,3898.8503770170396,1244.1496229829604,0
7owSGpkCWDRoG9335,iPppckgzp8sRDpzfy,31,1.0,2017-06-01 10:37:13.065,1888.0,plus,6,2571.5,663.6751885085198,3898.8503770170396,1244.1496229829604,0
7owSGpkCWDRoG9335,iPppckgzp8sRDpzfy,31,1.0,2017-06-01 10:37:13.065,4047.0,mult,7,2571.5,663.6751885085198,3898.8503770170396,1244.1496229829604,1
7owSGpkCWDRoG9335,iPppckgzp8sRDpzfy,31,1.0,2017-06-01 10:37:13.065,2877.0,square,8,2571.5,663.6751885085198,3898.8503770170396,1244.1496229829604,0
7owSGpkCWDRoG9335,iPppckgzp8sRDpzfy,31,1.0,2017-06-01 10:37:13.065,2280.0,hamburger,9,2571.5,663.6751885085198,3898.8503770170396,1244.1496229829604,0
7owSGpkCWDRoG9335,iPppckgzp8sRDpzfy,31,1.0,2017-06-01 10:37:13.065,1973.0,inf,10,2571.5,663.6751885085198,3898.8503770170396,1244.1496229829604,0
7owSGpkCWDRoG9335,iPppckgzp8sRDpzfy,31,1.0,2017-06-01 10:37:13.065,2071.0,square,11,2571.5,663.6751885085198,3898.8503770170396,1244.1496229829604,0
7owSGpkCWDRoG9335,iPppckgzp8sRDpzfy,31,1.0,2017-06-01 10:37:13.065,2341.0,plus,12,2571.5,663.6751885085198,3898.8503770170396,1244.1496229829604,0
7owSGpkCWDRoG9335,iPppckgzp8sRDpzfy,31,1.0,2017-06-01 10:37:13.065,2173.0,inf,13,2571.5,663.6751885085198,3898.8503770170396,1244.1496229829604,0
7owSGpkCWDRoG9335,iPppckgzp8sRDpzfy,31,1.0,2017-06-01 10:37:13.065,4038.0,window,14,2571.5,663.6751885085198,3898.8503770170396,1244.1496229829604,1
7owSGpkCWDRoG9335,iPppckgzp8sRDpzfy,31,1.0,2017-06-01 10:37:13.065,2356.0,square,15,2571.5,663.6751885085198,3898.8503770170396,1244.1496229829604,0
7owSGpkCWDRoG9335,iPppckgzp8sRDpzfy,31,1.0,2017-06-01 10:37:13.065,1826.0,triangle,16,2571.5,663.6751885085198,3898.8503770170396,1244.1496229829604,0
7owSGpkCWDRoG9335,iPppckgzp8sRDpzfy,31,1.0,2017-06-01 10:37:13.065,2403.0,hamburger,17,2571.5,663.6751885085198,3898.8503770170396,1244.1496229829604,0
7owSGpkCWDRoG9335,iPppckgzp8sRDpzfy,31,1.0,2017-06-01 10:37:13.065,3675.0,square,18,2571.5,663.6751885085198,3898.8503770170396,1244.1496229829604,0
7owSGpkCWDRoG9335,iPppckgzp8sRDpzfy,31,1.0,2017-06-01 10:37:13.065,2803.0,plus,19,2571.5,663.6751885085198,3898.8503770170396,1244.1496229829604,0
7owSGpkCWDRoG9335,iPppckgzp8sRDpzfy,31,1.0,2017-06-01 10:37:13.065,1691.0,circle,20,2571.5,663.6751885085198,3898.8503770170396,1244.1496229829604,0
7owSGpkCWDRoG9335,iPppckgzp8sRDpzfy,31,1.0,2017-06-01 10:37:13.065,3354.0,hamburger,21,2571.5,663.6751885085198,3898.8503770170396,1244.1496229829604,0
7owSGpkCWDRoG9335,iPppckgzp8sRDpzfy,31,1.0,2017-06-01 10:37:13.065,2675.0,circle,22,2571.5,663.6751885085198,3898.8503770170396,1244.1496229829604,0
7owSGpkCWDRoG9335,iPppckgzp8sRDpzfy,31,1.0,2017-06-01 10:37:13.065,2506.0,hamburger,23,2571.5,663.6751885085198,3898.8503770170396,1244.1496229829604,0
7owSGpkCWDRoG9335,iPppckgzp8sRDpzfy,31,1.0,2017-06-01 10:37:13.065,1921.0,circle,24,2571.5,663.6751885085198,3898.8503770170396,1244.1496229829604,0
7owSGpkCWDRoG9335,iPppckgzp8sRDpzfy,31,1.0,2017-06-01 10:37:13.065,2897.0,inf,25,2571.5,663.6751885085198,3898.8503770170396,1244.1496229829604,0
7owSGpkCWDRoG9335,iPppckgzp8sRDpzfy,31,1.0,2017-06-01 10:37:13.065,2718.0,triangle,26,2571.5,663.6751885085198,3898.8503770170396,1244.1496229829604,0
7owSGpkCWDRoG9335,iPppckgzp8sRDpzfy,31,1.0,2017-06-01 10:37:13.065,2409.0,window,27,2571.5,663.6751885085198,3898.8503770170396,1244.1496229829604,0
7owSGpkCWDRoG9335,iPppckgzp8sRDpzfy,31,1.0,2017-06-01 10:37:13.065,2637.0,star,28,2571.5,663.6751885085198,3898.8503770170396,1244.1496229829604,0
7owSGpkCWDRoG9335,iPppckgzp8sRDpzfy,31,1.0,2017-06-01 10:37:13.065,2330.0,mult,29,2571.5,663.6751885085198,3898.8503770170396,1244.1496229829604,0
